Date,Team,Opponent,GoalsFor,GoalsAgainst,EloPre,EloPost,ExpWinProb,IsHome
2014-02-09,Man United,Fulham,2.0,2.0,1727.9154507717165,1720.5440971482124,0.8685676811752049,1
2014-02-12,Man United,Arsenal,0.0,0.0,1720.5440971482124,1722.761287280371,0.3891404933920648,0
2014-02-22,Man United,Crystal Palace,2.0,0.0,1722.761287280371,1727.1332258908724,0.7814030694749327,0
2014-03-08,Man United,West Brom,3.0,0.0,1727.1332258908724,1732.6686307709704,0.7232297559951023,0
2014-03-16,Man United,Liverpool,0.0,3.0,1732.6686307709704,1719.8943313287655,0.6387149721102398,1
2014-03-22,Man United,West Ham,2.0,0.0,1719.8943313287655,1725.6407396880224,0.7126795820371461,0
2014-03-25,Man United,Man City,0.0,3.0,1725.6407396880224,1715.083283241962,0.5278728223030242,1
2014-03-29,Man United,Aston Villa,4.0,1.0,1715.083283241962,1718.6516631237762,0.821581005909288,1
2014-04-05,Man United,Newcastle,4.0,0.0,1718.6516631237762,1725.3821962577283,0.6634733433023883,0
2014-04-20,Man United,Everton,0.0,2.0,1725.3821962577283,1715.950975048709,0.4715610604509656,0
2014-04-26,Man United,Norwich,4.0,0.0,1715.950975048709,1718.7547512847832,0.8598111881962945,1
2014-05-03,Man United,Sunderland,0.0,1.0,1718.7547512847832,1701.8549498338216,0.844990072548078,1
2014-05-06,Man United,Hull,3.0,1.0,1701.8549498338216,1704.6429302506667,0.8606009791577417,1
2014-05-11,Man United,Southampton,1.0,1.0,1704.6429302506667,1702.4586328071111,0.6092148721777819,0
2014-08-16,Man United,Swansea,1.0,2.0,1702.4586328071111,1686.3132918629708,0.8072670472070149,1
2014-08-24,Man United,Sunderland,1.0,1.0,1686.3132918629708,1682.8096694106111,0.675181122617984,0
2014-08-30,Man United,Burnley,0.0,0.0,1682.8096694106111,1677.5407383588572,0.7634465525876957,0
2014-09-14,Man United,QPR,4.0,0.0,1677.5407383588572,1680.3101675335802,0.8615285412638508,1
2014-09-21,Man United,Leicester,3.0,5.0,1680.3101675335802,1666.8346968510168,0.6737735341281632,0
2014-09-27,Man United,West Ham,2.0,1.0,1666.8346968510168,1671.2172592678673,0.7808718791574727,1
2014-10-05,Man United,Everton,2.0,1.0,1671.2172592678673,1679.1541666242506,0.6031546321808396,1
2014-10-20,Man United,West Brom,2.0,2.0,1679.1541666242506,1675.8165719876047,0.6668797318322959,0
2014-10-26,Man United,Chelsea,1.0,1.0,1675.8165719876047,1677.0795370677795,0.4368517459912605,1
2014-11-02,Man United,Man City,0.0,1.0,1677.0795370677795,1671.316726369714,0.2881405349032826,0
2014-11-08,Man United,Crystal Palace,1.0,0.0,1671.316726369714,1675.1661807798482,0.8075272794932848,1
2014-11-22,Man United,Arsenal,2.0,1.0,1675.1661807798482,1687.8514858292847,0.3657347475281717,0
2014-11-29,Man United,Hull,3.0,0.0,1687.8514858292847,1690.794318007528,0.852858391087833,1
2014-12-02,Man United,Stoke,2.0,1.0,1690.794318007528,1695.2630825996755,0.776561770392634,1
2014-12-08,Man United,Southampton,2.0,1.0,1695.2630825996755,1704.1859904688727,0.5538546065401408,0
2014-12-14,Man United,Liverpool,3.0,0.0,1704.1859904688727,1711.5894440834954,0.6298273192688607,1
2014-12-20,Man United,Aston Villa,1.0,1.0,1711.5894440834954,1707.346400760305,0.7121521661595267,0
2014-12-26,Man United,Newcastle,3.0,1.0,1707.346400760305,1711.4943178029403,0.7926041478682317,1
2014-12-28,Man United,Tottenham,0.0,0.0,1711.4943178029403,1711.7520164051807,0.48711506988797737,0
2015-01-01,Man United,Stoke,1.0,1.0,1711.7520164051807,1709.1301180201735,0.6310949192503561,0
2015-01-11,Man United,Southampton,0.0,1.0,1709.1301180201735,1694.8472290786028,0.7141444470785381,1
2015-01-17,Man United,QPR,2.0,0.0,1694.8472290786028,1699.4640914465422,0.7691568816030382,0
2015-01-31,Man United,Leicester,3.0,1.0,1699.4640914465422,1702.2992515569235,0.8582419944809363,1
2015-02-08,Man United,West Ham,1.0,1.0,1702.2992515569235,1699.6240009156754,0.6337625320624027,0
2015-02-11,Man United,Burnley,3.0,1.0,1699.6240009156754,1702.2716366531547,0.8676182131260408,1
2015-02-21,Man United,Swansea,1.0,2.0,1702.2716366531547,1689.199294387281,0.6536171132936848,0
2015-02-28,Man United,Sunderland,2.0,0.0,1689.199294387281,1692.9097183250776,0.8144788031101727,1
2015-03-04,Man United,Newcastle,1.0,0.0,1692.9097183250776,1700.2180989876963,0.6345809668690657,0
2015-03-15,Man United,Tottenham,3.0,0.0,1700.2180989876963,1707.8621937144417,0.61779526366273,1
2015-03-22,Man United,Liverpool,2.0,1.0,1707.8621937144417,1719.9938248452354,0.39341844346030896,0
2015-04-04,Man United,Aston Villa,3.0,1.0,1719.9938248452354,1722.661605624722,0.8666109610256746,1
2015-04-12,Man United,Man City,4.0,2.0,1722.661605624722,1731.5289621660997,0.5566321729311076,1
2015-04-18,Man United,Chelsea,0.0,1.0,1731.5289621660997,1724.722436605015,0.34032627805424287,0
2015-04-26,Man United,Everton,0.0,3.0,1724.722436605015,1713.0603346488824,0.583105097806633,0
2015-05-02,Man United,West Brom,0.0,1.0,1713.0603346488824,1696.3747398902276,0.8342797379327368,1
2015-05-09,Man United,Crystal Palace,2.0,1.0,1696.3747398902276,1703.121368911361,0.6626685489433288,0
2015-05-17,Man United,Arsenal,1.0,1.0,1703.121368911361,1702.4177532972076,0.5351807807076719,1
2015-05-24,Man United,Hull,0.0,0.0,1702.4177532972076,1697.2322749633163,0.7592739166945686,0
2015-08-08,Man United,Tottenham,1.0,0.0,1697.2322749633163,1704.310126167478,0.6461074397919137,1
2015-08-14,Man United,Aston Villa,1.0,0.0,1704.310126167478,1709.8986231610809,0.7205751503198604,0
2015-08-22,Man United,Newcastle,0.0,0.0,1709.8986231610809,1702.933660051961,0.8482481554559981,1
2015-08-30,Man United,Swansea,1.0,2.0,1702.933660051961,1691.0011654012428,0.5966247325359114,0
2015-09-12,Man United,Liverpool,3.0,1.0,1691.0011654012428,1698.6319236875531,0.6184620856844852,1
2015-09-20,Man United,Southampton,3.0,2.0,1698.6319236875531,1706.706641766274,0.5962640960639514,0
2015-09-26,Man United,Sunderland,3.0,0.0,1706.706641766274,1709.751953993476,0.8477343886398968,1
2015-10-04,Man United,Arsenal,0.0,3.0,1709.751953993476,1702.0389327517785,0.3856510620848811,0
2015-10-17,Man United,Everton,3.0,0.0,1702.0389327517785,1711.2555924819974,0.5391670134890527,0
2015-10-25,Man United,Man City,0.0,0.0,1711.2555924819974,1711.098450022924,0.5078571229536691,1
2015-10-31,Man United,Crystal Palace,0.0,0.0,1711.098450022924,1708.1786815690805,0.6459884226921772,0
2015-11-07,Man United,West Brom,2.0,0.0,1708.1786815690805,1712.0817917218328,0.8048444923623809,1
2015-11-21,Man United,Watford,2.0,1.0,1712.0817917218328,1716.97625888811,0.7552766416861469,0
2015-11-28,Man United,Leicester,1.0,1.0,1716.97625888811,1714.6600867641162,0.615808606199689,0
2015-12-05,Man United,West Ham,0.0,0.0,1714.6600867641162,1708.758602576703,0.795074209370659,1
2015-12-12,Man United,Bournemouth,1.0,2.0,1708.758602576703,1694.2640722514295,0.7247265162636716,0
2015-12-19,Man United,Norwich,1.0,2.0,1694.2640722514295,1677.3080087822148,0.8478031734607421,1
2015-12-26,Man United,Stoke,0.0,2.0,1677.3080087822148,1666.1163039919684,0.5595852395123212,0
2015-12-28,Man United,Chelsea,0.0,0.0,1666.1163039919684,1664.406756031482,0.5854773980243225,1
2016-01-02,Man United,Swansea,2.0,1.0,1664.406756031482,1669.3693903724502,0.7518682829515947,1
2016-01-12,Man United,Newcastle,3.0,3.0,1669.3693903724502,1665.414215759954,0.6977587306248043,0
2016-01-17,Man United,Liverpool,1.0,0.0,1665.414215759954,1676.5511898443142,0.44315129578198564,0
2016-01-23,Man United,Southampton,0.0,1.0,1676.5511898443142,1662.0561810387153,0.7247504402799474,1
2016-02-02,Man United,Stoke,3.0,0.0,1662.0561810387153,1668.3953770848034,0.6830401976955902,1
2016-02-07,Man United,Chelsea,1.0,1.0,1668.3953770848034,1670.3633045926704,0.4016036246066542,0
2016-02-13,Man United,Sunderland,1.0,2.0,1670.3633045926704,1656.5365837058475,0.6913360443411372,0
2016-02-28,Man United,Arsenal,3.0,2.0,1656.5365837058475,1666.8634958477123,0.48365439290675816,1
2016-03-02,Man United,Watford,1.0,0.0,1666.8634958477123,1671.0366931919825,0.7913401327864911,1
2016-03-06,Man United,West Brom,0.0,1.0,1671.0366931919825,1659.1540175083962,0.5941337841793153,0
2016-03-20,Man United,Man City,1.0,0.0,1659.1540175083962,1671.928287801566,0.36128648534150853,0
2016-04-03,Man United,Everton,1.0,0.0,1671.928287801566,1677.642619232577,0.714283428449444,1
2016-04-10,Man United,Tottenham,0.0,3.0,1677.642619232577,1669.9080008861467,0.3867309173215199,0
2016-04-16,Man United,Aston Villa,1.0,0.0,1669.9080008861467,1672.401409620716,0.8753295632715357,1
2016-04-20,Man United,Crystal Palace,2.0,0.0,1672.401409620716,1676.8264327012762,0.7787488459719977,1
2016-05-01,Man United,Leicester,1.0,1.0,1676.8264327012762,1674.925589366828,0.5950421667224083,1
2016-05-07,Man United,Norwich,1.0,0.0,1674.925589366828,1680.3740523340516,0.7275768516388207,0
2016-05-10,Man United,West Ham,2.0,3.0,1680.3740523340516,1669.7607321373384,0.5306660098356575,0
2016-05-17,Man United,Bournemouth,3.0,1.0,1669.7607321373384,1674.106935898581,0.7826898119378768,1
2016-08-14,Man United,Bournemouth,3.0,1.0,1674.106935898581,1681.0088257745717,0.6549055062004655,0
2016-08-19,Man United,Southampton,2.0,0.0,1681.0088257745717,1687.9663417710594,0.6521242001756196,1
2016-08-27,Man United,Hull,1.0,0.0,1687.9663417710594,1693.8791013576079,0.704362020672584,0
2016-09-10,Man United,Man City,1.0,2.0,1693.8791013576079,1682.6567185551387,0.5611191401234533,1
2016-09-18,Man United,Watford,1.0,3.0,1682.6567185551387,1668.7831915235922,0.693676351577319,0
2016-09-24,Man United,Leicester,4.0,1.0,1668.7831915235922,1676.927366656862,0.5927912433365109,1
2016-10-02,Man United,Stoke,1.0,1.0,1676.927366656862,1671.5466154691953,0.7690375593833307,1
2016-10-17,Man United,Liverpool,0.0,0.0,1671.5466154691953,1673.493044105164,0.4026785682015712,0
2016-10-23,Man United,Chelsea,0.0,4.0,1673.493044105164,1665.1062297346264,0.4193407185268795,0
2016-10-29,Man United,Burnley,0.0,0.0,1665.1062297346264,1658.6580765687172,0.822407658295458,1
2016-11-06,Man United,Swansea,3.0,1.0,1658.6580765687172,1666.4111438252012,0.6123466371758036,0
2016-11-19,Man United,Arsenal,1.0,1.0,1666.4111438252012,1666.3870627191577,0.5012040553021765,1
2016-11-27,Man United,West Ham,1.0,1.0,1666.3870627191577,1661.8239278176711,0.7281567450743248,1
2016-12-04,Man United,Everton,1.0,1.0,1661.8239278176711,1660.7213365613156,0.5551295628177795,0
2016-12-11,Man United,Tottenham,1.0,0.0,1660.7213365613156,1670.093236633012,0.5314049964151721,1
2016-12-14,Man United,Crystal Palace,2.0,1.0,1670.093236633012,1676.7831562121235,0.665504021044433,0
2016-12-17,Man United,West Brom,2.0,0.0,1676.7831562121235,1684.7775231325622,0.6002816539780588,0
2016-12-26,Man United,Sunderland,3.0,1.0,1684.7775231325622,1688.496995908823,0.8140263611869613,1
2016-12-31,Man United,Middlesbrough,2.0,1.0,1688.496995908823,1691.7802650485098,0.835836543015655,1
2017-01-02,Man United,West Ham,2.0,0.0,1691.7802650485098,1700.043579002537,0.5868343022986482,0
2017-01-15,Man United,Liverpool,1.0,1.0,1700.043579002537,1698.3729342547442,0.5835322373896338,1
2017-01-21,Man United,Stoke,1.0,1.0,1698.3729342547442,1696.2900186522647,0.6041457801239793,0
2017-02-01,Man United,Hull,0.0,0.0,1696.2900186522647,1688.920608961551,0.8684704845356878,1
2017-02-05,Man United,Leicester,3.0,0.0,1688.920608961551,1697.3138618335036,0.5803373564023707,0
2017-02-11,Man United,Watford,2.0,0.0,1697.3138618335036,1701.0800172914826,0.8116922271010472,1
2017-03-04,Man United,Bournemouth,1.0,1.0,1701.0800172914826,1694.384732016076,0.8347642637703283,1
2017-03-19,Man United,Middlesbrough,3.0,1.0,1694.384732016076,1699.411445430716,0.7486643292680035,0
2017-04-01,Man United,West Brom,0.0,0.0,1699.411445430716,1694.269664700331,0.7570890365192438,1
2017-04-04,Man United,Everton,1.0,1.0,1694.269664700331,1690.2814893698478,0.6994087665241596,1
2017-04-09,Man United,Sunderland,3.0,0.0,1690.2814893698478,1695.474540747566,0.7403474311140986,0
2017-04-16,Man United,Chelsea,2.0,0.0,1695.474540747566,1705.526882232484,0.497382925754094,1
2017-04-23,Man United,Burnley,2.0,0.0,1705.526882232484,1711.1151298190894,0.7205876206697287,0
2017-04-27,Man United,Man City,0.0,0.0,1711.1151298190894,1713.0198457285499,0.4047642045269756,0
